,suburb,Count,price,yield,cagr,ptype,total_income
0,Albert Park,69.66666666666667,863000,0.027114716106604868,0.03289532190671629,U,0.06001003801332116
1,Middle Park,69.66666666666667,670000,0.03492537313432836,0.033239848220827595,U,0.06816522135515596
2,Armadale,334.0,605000,0.033778512396694216,0.02715208469917285,U,0.06093059709586707
3,Carlton North,100.0,605000,0.0352396694214876,0.031295790282878766,U,0.06653545970436636
4,Carlton,692.5,445000,0.05375280898876404,0.05349195802289297,U,0.10724476701165701
5,Parkville,692.5,505000,0.04736633663366337,0.002658550904880208,U,0.050024887538543575
6,Collingwood,383.5,585000,0.042666666666666665,0.025375567495508067,U,0.06804223416217473
7,Abbotsford,383.5,575000,0.043408695652173916,-0.024029609847832645,U,0.01937908580434127
8,Docklands,1168.0,559000,0.05023255813953489,0.006134179809236695,U,0.05636673794877158
9,East Melbourne,207.0,597500,0.04351464435146443,0.021709832427455833,U,0.06522447677892027
10,Elwood,868.0,588000,0.03537414965986395,0.03702939628399293,U,0.07240354594385688
11,Fitzroy,194.0,603000,0.04570480928689884,0.0343429777942339,U,0.08004778708113273
12,Fitzroy North,138.5,550000,0.042072727272727276,0.026543538994211913,U,0.06861626626693919
13,Clifton Hill,138.5,566500,0.040847308031774054,0.022145323559226604,U,0.06299263159100066
14,Flemington,306.5,437000,0.04521739130434783,0.028222834821739262,U,0.07344022612608708
15,Kensington,306.5,430000,0.045953488372093024,0.02941787112394234,U,0.07537135949603536
16,North Melbourne,452.5,529000,0.044234404536862004,0.03125632671623091,U,0.07549073125309291
17,West Melbourne,452.5,470000,0.04978723404255319,0.022928655245459284,U,0.07271588928801248
18,Port Melbourne,454.0,745000,0.038389261744966444,0.022951726327760547,U,0.06134098807272699
19,Prahran,368.0,550000,0.0416,0.04361215381629435,U,0.08521215381629435
20,Windsor,368.0,490000,0.04669387755102041,0.01501516971699135,U,0.06170904726801176
21,Richmond,470.0,539000,0.04727272727272727,0.022080355173047295,U,0.06935308244577457
22,South Melbourne,444.0,567500,0.047647577092511016,0.014883019929336161,U,0.06253059702184718
23,South Yarra,1466.0,567000,0.044938271604938275,0.021252219884918766,U,0.06619049148985703
24,Southbank,1776.0,547500,0.05033789954337899,0.012000060950605018,U,0.06233796049398401
25,St Kilda,1208.0,491000,0.045010183299389,0.024252820661908592,U,0.06926300396129759
26,Toorak,309.0,820500,0.028519195612431443,0.053433223901514726,U,0.08195241951394616
27,Balwyn,288.0,595000,0.03277310924369748,0.04242689173140657,U,0.07520000097510404
28,Blackburn,223.0,523000,0.03678776290630975,0.04195114719125126,U,0.07873891009756101
29,Box Hill,1046.0,485000,0.037525773195876286,0.053565799194878805,U,0.09109157239075509
30,Bulleen,197.33333333333334,629000,0.031828298887122415,0.04238779412479188,U,0.07421609301191429
31,Templestowe,197.33333333333334,670500,0.029858314690529457,0.03998283559093818,U,0.06984115028146765
32,Doncaster,197.33333333333334,549000,0.03646630236794171,0.028085853201751165,U,0.06455215556969288
33,Burwood,127.5,590000,0.0343728813559322,0.04577211620501154,U,0.08014499756094373
34,Ashburton,127.5,734000,0.02762942779291553,0.06373405519128683,U,0.09136348298420235
35,Camberwell,365.5,695000,0.028805755395683454,0.042348927037502815,U,0.07115468243318626
36,Glen Iris,365.5,560000,0.03575,0.030834059827220983,U,0.06658405982722099
37,Canterbury,101.33333333333333,1050000,0.019314285714285714,0.08203738981834285,U,0.10135167553262857
38,Surrey Hills,101.33333333333333,625000,0.032448,0.03157593709463424,U,0.06402393709463425
39,Mont Albert,101.33333333333333,600000,0.0338,0.0376686973041378,U,0.0714686973041378
40,Chadstone,168.0,485000,0.037525773195876286,0.04825333112982588,U,0.08577910432570217
41,Oakleigh,168.0,460000,0.03956521739130435,0.029567967464751987,U,0.06913318485605634
42,Clayton,714.0,522500,0.03433492822966507,0.05465086225372762,U,0.0889857904833927
43,Doncaster East,114.0,597500,0.03133054393305439,0.047179025843039346,U,0.07850956977609375
44,Donvale,114.0,570000,0.032842105263157895,0.054426175420275946,U,0.08726828068343384
45,Glen Waverley,89.5,649000,0.030046224961479198,0.062092085639965156,U,0.09213831060144435
46,Mulgrave,89.5,500000,0.039,0.05449589185476622,U,0.09349589185476623
47,Hawthorn,825.0,553000,0.0374249547920434,0.03853037559093364,U,0.07595533038297704
48,Kew,500.0,648500,0.030470316114109483,0.039456550876131535,U,0.06992686699024102
49,Mount Waverley,151.0,720000,0.026,0.05758476809254942,U,0.08358476809254942
50,Nunawading,148.5,480500,0.03679500520291363,0.040109726398928736,U,0.07690473160184236
51,Mitcham,148.5,550000,0.032145454545454547,0.0569511724151297,U,0.08909662696058425
52,Vermont,47.0,617500,0.029052631578947368,0.06396499567129177,U,0.09301762725023914
53,Forest Hill,47.0,590000,0.030406779661016948,0.045325660946845314,U,0.07573244060786226
54,Burwood East,47.0,530000,0.03384905660377358,0.04161671752496798,U,0.07546577412874156
55,Aspendale,173.33333333333334,570000,0.029649122807017543,0.040329881622987784,U,0.06997900443000532
56,Chelsea,173.33333333333334,425000,0.03976470588235294,0.06257604482282386,U,0.1023407507051768
57,Carrum,173.33333333333334,458500,0.03685932388222465,0.05177719850430318,U,0.08863652238652783
58,Bentleigh,902.0,590000,0.031728813559322035,0.022370241091989262,U,0.0540990546513113
59,Brighton,393.0,700000,0.03677142857142857,0.0503701296504202,U,0.08714155822184877
60,Brighton East,65.0,800000,0.026,0.0557448866611967,U,0.0817448866611967
